articulo,stock,compras_recomendadas,demanda_mensual,index_riesgo,riesgo,LT_meses,mean_margen,ultima_fecha,monto_usd,ultima_compra
ni-080,47.0,161.7451331940319,26.957522199005314,1.7434836797327842,Verde,6.0,0.6148474378077109,2024-06-21,6.72,2479.0
as-5102-s,230.0,198.7931584961487,33.13219308269145,6.941888797580201,Verde,6.0,0.8140661572884084,2024-08-29,28.82,1283.0
48072,4206.0,5619.024740986735,1404.7561852466838,2.994113885507755,Verde,4.0,0.47903361804295025,2024-09-16,3.2120997656822206,48930.0
a-42610,49.0,399.7613927621854,66.62689879369756,0.7354387024934599,Rojo,6.0,1.5554527090572474,2024-08-29,9.49,1668.0
c-15300,0.0,151.9757595170594,37.99393987926485,0.0,Rojo,4.0,1.0397294056664856,2023-09-06,8.516571836471558,6899.0
a-69130-s,56.0,211.8000304838507,35.30000508064178,1.586402037962026,Verde,6.0,1.0398781570204716,2023-02-17,13.04,2248.0
sk016,22.0,270.3051191140279,45.050853185671315,0.4883370334703723,Rojo,6.0,1.066283742041095,2024-01-22,4.31,2090.0
c-16400,98.0,431.11863929504,107.77965982376,0.9092624727174721,Rojo,4.0,0.35563638705992906,2024-09-12,10.75,7248.0
a-1324-s,996.0,1288.08896719167,214.681494531945,4.639431089165412,Verde,6.0,0.8460643317102574,2024-08-29,9.21,18780.0
48328,28560.0,19920.50079450031,4980.125198625077,5.734795584634077,Verde,4.0,0.5165980345958189,2024-09-16,2.0117759613633157,555895.0
t1083,101.0,61.34866451439082,10.224777419065136,9.877965637831416,Verde,6.0,0.6777499663111481,2024-03-19,21.739099999999997,750.0
ch010,0.0,209.4353793880447,34.905896564674116,0.0,Rojo,6.0,1.0311729401488596,2024-01-22,4.28,3712.0
hy009,1540.0,2230.726372298399,371.78772871639984,4.14214854620636,Verde,6.0,0.8487165252461243,2024-09-20,4.45,20718.0
dg001,0.0,103.7424516990891,17.29040861651485,0.0,Rojo,6.0,0.9543076278356794,2024-01-22,4.83,3904.0
3461-1096skr,47.0,226.9478714208068,37.82464523680113,1.2425760957110523,Amarillo,6.0,0.7536466738873214,2024-08-29,32.0,864.0
wk-950/14,315.0,319.0807561912628,79.7701890478157,3.948843593829059,Verde,4.0,0.3075435476136556,2024-09-12,10.34,13149.0
rov2050025,0.0,877.6041515847883,219.40103789619707,0.0,Rojo,4.0,0.6120395195008037,2024-06-20,2.165833,34992.0
hy030,0.0,135.8763767889294,22.6460627981549,0.0,Rojo,6.0,1.0121082029992834,2024-01-22,5.04,2290.0
hy046,0.0,156.0087959019517,26.001465983658615,0.0,Rojo,6.0,0.5858610819173438,2024-01-22,8.72,1144.0
hy008,1548.0,1412.220914248501,235.37015237475018,6.576874698773679,Verde,6.0,0.9760656570888658,2024-09-20,4.2,15866.0
ef-2636,0.0,1489.271600001087,248.2119333335145,0.0,Rojo,6.0,1.2409462643343232,2024-08-29,3.61,12950.0
f-1111,4020.0,13808.95323508792,2301.4922058479865,1.746692858566005,Verde,6.0,1.4206822979140898,2024-09-30,1.2,207750.0
kn47001,422.0,867.8324931782737,216.95812329456842,1.9450758219688418,Verde,4.0,0.4566902051910869,2022-10-20,4.4,40030.0
a-5801-s,260.0,454.4217245808433,75.73695409680722,3.4329344650917326,Verde,6.0,0.9828878698684715,2024-09-26,16.96,5928.0
c-311345/1,44.0,78.49710569787756,19.62427642446939,2.242120883760925,Verde,4.0,0.3463947640471189,2024-09-24,52.42513248205185,9395.0
ato-001,255.0,84.56608607923448,14.094347679872413,18.092359135155686,Verde,6.0,0.7132382913797098,2024-06-21,31.3,1050.0
a-28650,389.0,857.4849991120519,142.91416651867533,2.7219135056787205,Verde,6.0,0.955505369310061,2024-09-17,9.44,8864.0
wk-1156/1,0.0,198.0719066101883,49.51797665254708,0.0,Rojo,4.0,0.32940088013232155,2024-02-03,10.9,10189.0
a-6121m-s,96.0,322.6166652574605,53.769444209576754,1.7854006380616756,Verde,6.0,0.6528191410586303,2024-08-29,19.33,2068.0
w-11102/36,603.0,2272.950226181361,568.2375565453402,1.061175899153871,Naranja,4.0,0.24298986635814643,2024-09-24,9.156063833236695,138450.0
c-1011,3400.0,33182.32073895746,5530.386789826243,0.6147852092831328,Rojo,6.0,0.8166831860192156,2024-09-30,0.88,281650.0
99939,12398.0,8002.920021161437,8002.920021161437,1.5491845435437352,Verde,1.0,0.34583552582826615,2024-07-24,1.8,5268480.0
hy-803,0.0,127.5942357519124,21.265705958652067,0.0,Rojo,6.0,0.6303906794068171,2024-06-21,8.12,5559.0
