fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion
mann - brasil,2024-05-01,wk-1040,4.0,19879.57661237937,15608.547433784013
mann - brasil,2024-05-01,c-16400,4.0,1839.338526637204,1869.3210459188465
ito koyama - resortes,2024-05-01,ch001,6.0,1064.7054220775528,1236.5106117625799
ito koyama - amortiguadores,2024-05-01,54650-24120,6.0,490.1605755058606,413.9033725724212
sakura - radiadores,2024-05-01,3461-8553skr,6.0,3585.0577667502976,4798.4921976586265
sakura filter,2024-05-01,ef-2634,6.0,1088.2202331461256,1089.453444063734
sakura filter,2024-05-01,ef-10080,6.0,985.2737077224588,1315.9521200868094
novaquimica - peru,2024-05-01,adex3h,1.0,1272.1652429751716,1659.8727455961762
denso - bujias - japon,2024-05-01,k16r-u11,3.0,2186.0997271755655,2344.3406432788756
mann - brasil,2024-05-01,h-601/10,4.0,608.7876179571072,697.0802599827244
ito koyama - resortes,2024-05-01,v001,6.0,284.63924633257307,461.16273998528686
narva,2024-05-01,17916,4.0,7887.358409164203,7890.532926930111
denso - bujias - japon,2024-05-01,xu22epr-u,3.0,906.7586920741196,1185.732515315209
sakura filter,2024-05-01,a-5570-s,6.0,2100.886091291775,2519.9887618660523
sakura filter,2024-05-01,a-5558-s,6.0,2345.4425534094394,2120.792195543353
sakura filter,2024-05-01,a-2709-s,6.0,6571.5505540181875,7195.491011407602
mann - brasil,2024-05-01,wk-940/24,4.0,589.6471882970229,815.5970915828099
sakura filter,2024-05-01,c-1814,6.0,1007.5221020431414,1001.2350850007102
ito koyama - resortes,2024-05-01,t023,6.0,439.1764070067374,814.839594683328
ito koyama - palieres,2024-05-01,to-007,6.0,615.5026340971978,565.1325652306294
tkl - taiwan,2024-05-01,kn47001,4.0,1476.0112516009358,1628.1081165564492
ito koyama - amortiguadores,2024-05-01,41601-58m00,6.0,491.0470588022939,608.4088462765642
prextoline - lubricantes,2024-05-01,p1540ci5500,2.0,15665.167613670721,18729.878059036142
ito koyama - amortiguadores,2024-05-01,485300d330,6.0,881.6043534507467,1248.7573307041507
ito koyama - resortes,2024-05-01,hy035,6.0,670.2685136743011,772.2752714672073
ito koyama - amortiguadores,2024-05-01,54650-4n000,6.0,789.5060442780808,409.43184802132544
ito koyama - resortes,2024-05-01,dg001,6.0,596.6101097567309,634.0701668680668
ito koyama - resortes,2024-05-01,t007,6.0,456.7551759134418,1140.0949204918488
sakura filter,2024-05-01,c-1511,6.0,241.64289557100582,382.2843295200287
sakura filter,2024-05-01,c-1534,6.0,2332.600010801585,2375.3325961671435
mann - brasil,2024-05-01,pu-1046/x,4.0,1958.0296374415022,2140.40881393454
narva,2024-05-01,48750,4.0,796.5589303833976,849.8603134502517
ishikawa - discos de freno,2024-05-01,bdd028,6.0,693.613565238932,1079.0150605660913
sakura filter,2024-05-01,a-5331-s,6.0,1655.7536080676493,1877.3918079103862
sakura filter,2024-05-01,ef-1003,6.0,5629.759074450857,7144.918981611202
narva,2024-05-01,48892,4.0,12308.007394248829,11247.718224317416
mann - brasil,2024-05-01,h-12110/2x,4.0,794.6232678044933,1218.2531537912835
sakura filter,2024-05-01,a-38050-s,6.0,1760.4656272238828,1410.633876721385
sakura filter,2024-05-01,c-1142,6.0,1350.0365394302892,1324.1946508190388
aisin - japon,2024-05-01,dt-064,6.0,781.2738129456123,717.7838981557331
sakura filter,2024-05-01,fc-1806,6.0,3803.5220839886715,5353.185875700361
sakura filter,2024-05-01,c-6214,6.0,543.4652803565793,531.6013055170137
sakura filter,2024-05-01,a-33410,6.0,422.90088636101405,464.14349642027224
prextoline - lubricantes,2024-05-01,p00100500,2.0,10845.283209957772,15101.607206673285
sakura filter,2024-05-01,c-2105,6.0,780.9457765026085,916.7203389239453
narva,2024-05-01,48751,4.0,1561.0195790661305,2684.705289272797
sakura filter,2024-05-01,c-1314,6.0,10892.658968056961,13361.061268128418
ito koyama - amortiguadores,2024-05-01,4853002700,6.0,427.93720396486157,154.43385879327298
mann - brasil,2024-05-01,hu-12110x,4.0,1091.270619151167,1293.7373522016437
sakura filter,2024-05-01,a-88230-s,6.0,562.1356035763866,820.4260748352173
ito koyama - amortiguadores,2024-05-01,54303-5m400,6.0,619.0864436709095,169.6104012737104
ito koyama - resortes,2024-05-01,hy047,6.0,696.8542094255376,689.6236191647039
sakura filter,2024-05-01,c-1160,6.0,2748.3726984411087,2942.4555062341487
sakura filter,2024-05-01,ca-2807,6.0,1064.917508430486,1199.7092000915807
ito koyama - amortiguadores,2024-05-01,54660-b4000,6.0,771.4533133248115,506.25063246468864
sakura filter,2024-05-01,sfc-31010-10,6.0,598.6998114720313,636.4597109886814
sakura filter,2024-05-01,f-11140,6.0,10268.8975176731,12244.9739569428
ito koyama - amortiguadores,2024-05-01,3330084,6.0,345.96749060720543,315.41161174311543
ito koyama - resortes,2024-05-01,re002,6.0,305.5611377015237,617.2538985212512
valvoline,2024-05-01,b10300025,2.0,1004.203939830624,1399.9650071651538
sakura filter,2024-05-01,a-28690,6.0,346.15925144373017,304.93600168578985
ito koyama - resortes,2024-05-01,hy046,6.0,315.02960611458667,357.3647872554329
rover - usa,2024-05-01,rov1030100,4.0,3284.018362630056,4360.137156792388
wagner locked - usa,2024-05-01,rxfc113641bep,2.0,1045.8441575164354,2031.9393014328832
narva,2024-05-01,18048,4.0,2182.4166357768645,1704.4005723049063
sakura filter,2024-05-01,c-5816,6.0,1173.8848060376306,1329.5634468647545
narva,2024-05-01,17925,4.0,2867.587698476654,3017.2393984945875
ito koyama - amortiguadores,2024-05-01,48510-52790,6.0,2355.73074311851,2846.6486713517447
sakura filter,2024-05-01,a-1050,6.0,790.2933475025833,883.7722442691615
ishikawa - discos de freno,2024-05-01,bdd020,6.0,5471.679346361905,4560.226008470518
sakura filter,2024-05-01,fs-19130,6.0,677.5206292969233,530.1129146591695
sakura filter,2024-05-01,a-58410-s,6.0,1645.862188768812,2278.884185031665
aisin - japon,2024-05-01,dtx-146,6.0,1881.6627432128917,10918.975153474781
sakura filter,2024-05-01,sfc-55220,6.0,613.8551225207369,569.9184229101725
sakura filter,2024-05-01,sf-1911-2,6.0,1518.9115154843814,1954.522572568812
sakura filter,2024-05-01,ef-18050,6.0,2066.758933933821,2478.7020506407334
narva,2024-05-01,48072,4.0,6356.092532756463,5648.500104549911
ito koyama - resortes,2024-05-01,n005,6.0,1744.0464487037157,2042.60952576264
narva,2024-05-01,98015,4.0,5459.85900552867,5412.833434953371
ito koyama - palieres,2024-05-01,to-014f2,6.0,2624.030443434928,844.1458874754783
ito koyama - resortes,2024-05-01,v002,6.0,412.34627499701196,811.0506460919257
narva,2024-05-01,17638,4.0,697.0473326340684,1838.2231066194067
narva,2024-05-01,48076,4.0,943.3668276721055,1076.9950640223894
versachem - usa,2024-05-01,99939,1.0,14421.270679582845,24417.146496633
valvoline,2024-05-01,g20w50100,2.0,2185.600109335172,2537.667796826674
ito koyama - resortes,2024-05-01,hy026,6.0,330.7868204792208,542.5637706013688
prextoline - lubricantes,2024-05-01,p1540ci500,2.0,28271.295025462972,32515.914680727823
sakura filter,2024-05-01,a-61530,6.0,1495.0969005832924,2144.8814560057212
mann - brasil,2024-05-01,w-9023/1,4.0,452.9746226158612,672.9325063648307
narva,2024-05-01,17181,4.0,4184.0118738513775,4011.743098095109
sakura filter,2024-05-01,a-5801-s,6.0,2387.249122940974,2840.8724609337023
ito koyama - palieres,2024-05-01,hy-803,6.0,608.9917451960497,858.6138631788847
ito koyama - amortiguadores,2024-05-01,48520-12610,6.0,967.256800415633,1191.9456478247712
rover - usa,2024-05-01,rov2050100,4.0,5458.448494331059,7250.527567565218
valvoline - usa,2024-05-01,884559,3.0,2686.194770742407,3895.9186828212128
prextoline - grasas,2024-05-01,pgcr5003,2.0,889.2609890353488,1304.342710133324
ishikawa - discos de freno,2024-05-01,bdd010,6.0,713.9848626382143,953.473311047894
ito koyama - resortes,2024-05-01,sk005,6.0,485.7119229467512,704.893724725722
ito koyama - amortiguadores,2024-05-01,48540-02120,6.0,501.8572211081859,644.7965682031155
mann - brasil,2024-05-01,c-15300,4.0,529.1181980571552,752.8714335050533
sakura filter,2024-05-01,eo-2624,6.0,167.0539021317463,177.25074270677385
ito koyama - resortes,2024-05-01,hy044,6.0,318.44347325415976,745.8043619820021
tkl - taiwan,2024-05-01,tkl49011,4.0,1083.7289501679593,1565.3843468504367
valvoline,2024-05-01,m25600100,2.0,1714.8779060378995,2144.380899683266
ito koyama - resortes,2024-05-01,hy041,6.0,533.597187143311,575.338319522786
ito koyama - amortiguadores,2024-05-01,48510-bz750,6.0,641.0858527443393,759.703256378195
ito koyama - amortiguadores,2024-05-01,55311-38601,6.0,664.6860775048826,509.2246892688894
sakura filter,2024-05-01,fc-13210,6.0,572.0916775294761,677.1484946721366
valvoline - usa,2024-05-01,884646,3.0,2466.17167340314,2709.9557191049153
narva,2024-05-01,18032,4.0,9924.871853652829,7369.011927094386
sakura filter,2024-05-01,c-58270,6.0,2478.2781541140284,2614.781257876147
mann - brasil,2024-05-01,w-1170/7,4.0,997.0279264370266,1441.946530345151
aisin - japon,2024-05-01,opt-025,6.0,2722.9020231549284,2627.4971401792545
