fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion
ito koyama - amortiguadores,2024-05-01,4853109450,6.0,486.9955832443845,879.0446496838557
sakura filter,2024-05-01,ac-7901,6.0,1575.4482084726073,1899.3558219567083
sakura filter,2024-05-01,a-1880,6.0,826.7443262191863,823.5746288613241
sakura filter,2024-05-01,a-6304-s,6.0,2771.660105476763,2922.9724265837094
mann - brasil,2024-05-01,wk-1060/2,4.0,7915.41899864523,6637.844327561702
sakura filter,2024-05-01,c-1122,6.0,0.0,650.5373078026594
sakura filter,2024-05-01,as-5102-s,6.0,629.632491105586,898.8385906657397
wagner locked - usa,2024-05-01,rxfc113644bep,2.0,1798.8870897137006,2028.3778305865471
mann - brasil,2024-05-01,wk-820/18,4.0,2057.865664223812,2589.5225688694313
sakura filter,2024-05-01,eo-31110,6.0,419.91159478622666,510.53070083464746
ito koyama - amortiguadores,2024-05-01,48510-12750,6.0,1086.854366528548,1171.9260865529363
sakura filter,2024-05-01,fc-5723,6.0,492.9718099654929,516.8334309894901
sakura filter,2024-05-01,sf-1307,6.0,3137.8162780652247,3309.042193642521
narva,2024-05-01,17177,4.0,3146.745584563247,4376.2278551262725
prextoline - usa,2024-05-01,ptracto500usr,4.0,9709.383535360259,7607.126477343196
sakura filter,2024-05-01,a-1840-s,6.0,707.7547365908396,774.4034613273171
ito koyama - resortes,2024-05-01,hy008,6.0,2152.538218784791,2877.7125524343114
sakura filter,2024-05-01,a-5903,6.0,1532.9715603745224,1579.558922000242
ito koyama - resortes,2024-05-01,k006,6.0,584.9298133899218,557.7352448278353
narva,2024-05-01,48358,4.0,650.0146076147014,871.5786964811658
ito koyama - amortiguadores,2024-05-01,41602-64j00,6.0,640.6373089709223,542.8799013982158
narva,2024-05-01,17631,4.0,1324.8519029227093,1257.3254594934592
ito koyama - amortiguadores,2024-05-01,48510-0d591,6.0,2252.0918708116537,3953.6085104024187
ito koyama - amortiguadores,2024-05-01,3330083,6.0,318.40887657963253,892.7828758170134
sakura filter,2024-05-01,a-76530-s,6.0,902.2357185248576,2188.2157187308917
sakura filter,2024-05-01,c-1533,6.0,3778.9565071646775,4330.189618385382
ishikawa - pastillas de freno,2024-05-01,icd976,6.0,0.0,648.4412684641147
valvoline,2024-05-01,di1540ci100,2.0,1117.1639164344788,1605.4431519836508
ito koyama - resortes,2024-05-01,n006,6.0,1474.6389074394986,1881.4024515725298
sakura filter,2024-05-01,a-7620-s,6.0,466.6745081015857,570.8022276269237
sakura filter,2024-05-01,as-1825,6.0,1241.559587830136,1499.1930815215105
sakura filter,2024-05-01,a-5801,6.0,764.251367911602,683.1699619390472
ito koyama - resortes,2024-05-01,t005,6.0,867.756865137452,720.6812288275415
sakura filter,2024-05-01,ef-2636,6.0,1403.273579081486,2057.458356601169
mann - brasil,2024-05-01,cf-500/1,4.0,532.057327611177,615.9653902048608
sakura filter,2024-05-01,a-1081,6.0,468.7879760219505,425.53614962173657
ito koyama - amortiguadores,2024-05-01,48510-8z205ref,6.0,4627.377591933531,4507.297253478021
ito koyama - amortiguadores,2024-05-01,332153,6.0,1438.637308136598,1692.2003374623891
ito koyama - resortes,2024-05-01,d001,6.0,2064.058833881409,1608.6622299277838
ito koyama - resortes,2024-05-01,t014,6.0,1394.0872664563724,1925.6098270173386
ito koyama - palieres,2024-05-01,by-001,6.0,478.1597310196607,449.040652502182
ito koyama - amortiguadores,2024-05-01,48531-36160,6.0,497.3141343375877,582.0720559566328
valvoline,2024-05-01,di1540ci025,2.0,413.7493820523628,572.2035941477849
sakura filter,2024-05-01,a-71130-s,6.0,800.2725286208591,998.8379085662542
ito koyama - palieres,2024-05-01,ni-049,6.0,501.99839592780484,597.5844189682607
sakura filter,2024-05-01,c-1513,6.0,2486.959744633679,3245.409436781771
ito koyama - resortes,2024-05-01,hy031,6.0,280.23421102420065,412.41860822494453
sakura filter,2024-05-01,a-3301,6.0,991.2924562763948,1279.7665026876498
narva,2024-05-01,48991,4.0,5602.1279245958,4076.1081465926127
ito koyama - amortiguadores,2024-05-01,3340048,6.0,531.5721309016961,499.953102476512
valvoline,2024-05-01,m25600025,2.0,467.1319632900231,497.1763810487071
sakura filter,2024-05-01,a-6020m,6.0,4610.529490414957,4312.951885682904
prextoline - lubricantes,2024-05-01,paw68a5500,2.0,2980.9627470441437,3333.994909746716
sakura filter,2024-05-01,c-7971,6.0,2534.9398462488425,2570.037513727464
narva,2024-05-01,48351,4.0,1657.1127751499032,1980.3318440730386
narva,2024-05-01,18057,4.0,1934.4692017167,1620.7012069715215
ito koyama - resortes,2024-05-01,n017,6.0,551.0885585808976,585.2720510614015
sakura filter,2024-05-01,a-83100-s,6.0,963.5295899849832,571.5810204478657
aisin - japon,2024-05-01,dtx-116,6.0,12200.363820318264,14607.965453598485
sakura filter,2024-05-01,ef-1802,6.0,4084.6959693421704,4681.669405657109
sakura filter,2024-05-01,c-1147,6.0,542.4795723932117,469.38906826649367
mann - brasil,2024-05-01,c-4312/1,4.0,470.2019562584513,644.2427389120508
sakura filter,2024-05-01,eo-17030,6.0,1443.0490786765215,1510.9210070144811
ito koyama - resortes,2024-05-01,n014,6.0,325.5908522500441,1082.200666532069
ito koyama - amortiguadores,2024-05-01,54302-54y00,6.0,1055.6580927586506,1266.1888785123451
prextoline - lubricantes,2024-05-01,paw68r500,2.0,2715.31914171196,3271.483393124115
narva,2024-05-01,48901,4.0,15763.990000118443,20890.301464897457
valvoline - usa,2024-05-01,884721,3.0,1894.5811224018582,2068.497299509434
sakura filter,2024-05-01,c-1121,6.0,666.9618622632216,840.2402987934787
ito koyama - resortes,2024-05-01,hy039,6.0,423.4571470676815,571.5835561825832
ito koyama - resortes,2024-05-01,hy027,6.0,1342.3569219271742,1204.0951730520283
sakura filter,2024-05-01,sfc-5304-10,6.0,1423.3400294381313,1511.3059185822817
ito koyama - palieres,2024-05-01,cv-15,6.0,887.602121680216,1096.701131778123
ito koyama - amortiguadores,2024-05-01,48530-52051,6.0,602.3311785686371,500.3698986539297
ito koyama - amortiguadores,2024-05-01,485100d851,6.0,1782.9600253343792,3212.352130217243
sakura filter,2024-05-01,a-71260-s,6.0,791.8329191231563,1294.3201854020037
mann - brasil,2024-05-01,wdk-11102/28,4.0,2933.0426944134606,2772.6856723776837
sakura filter,2024-05-01,fc-1001,6.0,1636.7456815550568,1977.3390560047612
valvoline,2024-05-01,rp2050100,2.0,6584.871911665686,8604.62492131638
narva,2024-05-01,48321,4.0,1841.4885100821255,2271.083809395265
mann - brasil,2024-05-01,pu-999/1x,4.0,2314.457326617607,2384.1441681534393
narva,2024-05-01,48350,4.0,537.0529691585576,291.3704055761378
sakura filter,2024-05-01,sfc-7912-30,6.0,3930.4023572051688,3861.9790797922283
ito koyama - resortes,2024-05-01,ch002,6.0,1369.004024977248,1841.6550440696487
sakura filter,2024-05-01,a-5549-s,6.0,2474.058826425116,2244.823971492933
ito koyama - resortes,2024-05-01,n019,6.0,341.7720520686573,565.9012454540979
sakura filter,2024-05-01,eo-1501,6.0,411.6377929581019,478.67974637548247
valvoline - usa,2024-05-01,vx959,3.0,18631.57888437276,24565.971377161124
narva,2024-05-01,48320,4.0,1588.1346791258438,2593.1306130309486
sakura filter,2024-05-01,a-8506-s,6.0,4644.170688189574,4869.698622658782
ito koyama - amortiguadores,2024-05-01,377412503,6.0,274.8350168825323,644.4898248071682
sakura filter,2024-05-01,sfc-1306-30,6.0,776.9156826027066,1081.063232572144
sakura filter,2024-05-01,a-5507-s,6.0,686.0706656321647,994.1233604356432
valvoline,2024-05-01,rp1030100,2.0,3398.5131117014384,3386.724710464958
mann - brasil,2024-05-01,wk-1030,4.0,534.8290865107323,926.6011626327586
sakura filter,2024-05-01,a-1841-s,6.0,1010.9822775884157,1463.6389125653777
narva,2024-05-01,48881,4.0,27318.297112968525,24299.2652709526
