fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
sakura filter,2024-06-01,fs-19130,6.0,305.1067667572223,298.01962138346477,3.746999808933834
sakura filter,2024-07-01,fs-19130,6.0,318.83366340196034,208.6443549491917,3.756425045317437
sakura filter,2024-08-01,fs-19130,6.0,301.47062287333864,217.46916130294022,3.732000149037844
sakura filter,2024-09-01,fs-19130,6.0,326.90010723988104,172.91527755828415,3.746999808933834
sakura filter,2024-10-01,fs-19130,6.0,,,3.715999990254402
narva,2024-06-01,17141,4.0,179.91100493355293,179.91100493355293,3.746999808933834
narva,2024-07-01,17141,4.0,183.74702118996572,183.74702118996572,3.756425045317437
narva,2024-08-01,17141,4.0,160.28964813982924,184.94959400749525,3.732000149037844
narva,2024-09-01,17141,4.0,122.80614671232281,210.61254161163367,3.746999808933834
narva,2024-10-01,17141,4.0,,,3.715999990254402
sakura filter,2024-06-01,f-11140,6.0,10921.068060440773,13191.868747664363,3.746999808933834
sakura filter,2024-07-01,f-11140,6.0,11382.100585707918,12735.263045439806,3.756425045317437
sakura filter,2024-08-01,f-11140,6.0,12052.894336064217,13199.73274587639,3.732000149037844
sakura filter,2024-09-01,f-11140,6.0,11192.75213715408,11192.75213715408,3.746999808933834
sakura filter,2024-10-01,f-11140,6.0,,,3.715999990254402
mann - brasil,2024-06-01,w-1135/3,4.0,740.07095027115,1095.577810607583,3.746999808933834
mann - brasil,2024-07-01,w-1135/3,4.0,838.1227072497717,1056.2160380031803,3.756425045317437
mann - brasil,2024-08-01,w-1135/3,4.0,1022.3858370392437,1135.5186960558813,3.732000149037844
mann - brasil,2024-09-01,w-1135/3,4.0,855.5331473999199,855.5331473999199,3.746999808933834
mann - brasil,2024-10-01,w-1135/3,4.0,,,3.715999990254402
prextoline - usa,2024-06-01,ptracto500usr,4.0,5401.490085092027,7626.704625333092,3.746999808933834
prextoline - usa,2024-07-01,ptracto500usr,4.0,5786.2672093107885,7625.922816618838,3.756425045317437
prextoline - usa,2024-08-01,ptracto500usr,4.0,6509.949907815152,6678.765464581833,3.732000149037844
prextoline - usa,2024-09-01,ptracto500usr,4.0,4823.509628516031,4823.509628516031,3.746999808933834
prextoline - usa,2024-10-01,ptracto500usr,4.0,,,3.715999990254402
narva,2024-06-01,48350,4.0,303.0879171751636,486.45610706613763,3.746999808933834
narva,2024-07-01,48350,4.0,240.35031485138282,394.5373092843454,3.756425045317437
narva,2024-08-01,48350,4.0,344.626645259742,511.2342287296835,3.732000149037844
narva,2024-09-01,48350,4.0,430.38484238873235,687.6307120911524,3.746999808933834
narva,2024-10-01,48350,4.0,,,3.715999990254402
mann - brasil,2024-06-01,wp-11102/3,4.0,2304.2979518619327,3227.0525780494213,3.746999808933834
mann - brasil,2024-07-01,wp-11102/3,4.0,3025.574435057965,3146.1634692232537,3.756425045317437
mann - brasil,2024-08-01,wp-11102/3,4.0,3355.703258228824,3319.819013204573,3.732000149037844
mann - brasil,2024-09-01,wp-11102/3,4.0,2754.085840363511,2626.0362634594862,3.746999808933834
mann - brasil,2024-10-01,wp-11102/3,4.0,,,3.715999990254402
